image_path,rank,color_hex,share
data/latest/images/leopard_print_runway_1990s_61678f957132f3fa.jpg,1,#f5f3f7,0.4720083041958042
data/latest/images/leopard_print_runway_1990s_61678f957132f3fa.jpg,2,#9a6b46,0.1632910839160839
data/latest/images/leopard_print_runway_1990s_61678f957132f3fa.jpg,3,#1e140f,0.13403846153846155
data/latest/images/leopard_print_runway_1990s_61678f957132f3fa.jpg,4,#684026,0.12815777972027972
data/latest/images/leopard_print_runway_1990s_61678f957132f3fa.jpg,5,#c19771,0.10250437062937062
data/latest/images/leopard_print_runway_1990s_4c33a16d2be523c9.jpg,1,#503924,0.33118255601280294
data/latest/images/leopard_print_runway_1990s_4c33a16d2be523c9.jpg,2,#ac977f,0.2430727023319616
data/latest/images/leopard_print_runway_1990s_4c33a16d2be523c9.jpg,3,#81674e,0.22186785550983082
data/latest/images/leopard_print_runway_1990s_4c33a16d2be523c9.jpg,4,#221c18,0.12440157750342935
data/latest/images/leopard_print_runway_1990s_4c33a16d2be523c9.jpg,5,#e2e1e1,0.07947530864197531
data/latest/images/vogue_runway_emerald_dress_6542aa8872bd2a86.jpg,1,#151f20,0.3049885200306133
data/latest/images/vogue_runway_emerald_dress_6542aa8872bd2a86.jpg,2,#cdad91,0.24210602105061052
data/latest/images/vogue_runway_emerald_dress_6542aa8872bd2a86.jpg,3,#275157,0.1830848451070797
data/latest/images/vogue_runway_emerald_dress_6542aa8872bd2a86.jpg,4,#8a7060,0.13813563163831563
data/latest/images/vogue_runway_emerald_dress_6542aa8872bd2a86.jpg,5,#f4e3d6,0.13168498217338087
data/latest/images/Gucci_Fall_2013_runway_546df877241bfb98.jpg,1,#0b0d12,0.44542831487920936
data/latest/images/Gucci_Fall_2013_runway_546df877241bfb98.jpg,2,#191921,0.3766743114019034
data/latest/images/Gucci_Fall_2013_runway_546df877241bfb98.jpg,3,#57213f,0.13311454806460468
data/latest/images/Gucci_Fall_2013_runway_546df877241bfb98.jpg,4,#726982,0.030416061379026353
data/latest/images/Gucci_Fall_2013_runway_546df877241bfb98.jpg,5,#d3d4de,0.014366764275256223
data/latest/images/Balmain_burgundy_runway_2025_99bfb5f0d2bcc221.jpg,1,#6b605d,0.2365234375
data/latest/images/Balmain_burgundy_runway_2025_99bfb5f0d2bcc221.jpg,2,#362c26,0.22429578993055554
data/latest/images/Balmain_burgundy_runway_2025_99bfb5f0d2bcc221.jpg,3,#0c0907,0.22208333333333333
data/latest/images/Balmain_burgundy_runway_2025_99bfb5f0d2bcc221.jpg,4,#cbc1ba,0.20961371527777778
data/latest/images/Balmain_burgundy_runway_2025_99bfb5f0d2bcc221.jpg,5,#aa9382,0.10748372395833333
data/latest/images/Chanel_haute_couture_2020_eb1bfd2be5f04b2d.jpg,1,#2b3020,0.2534256335296092
